Nn,_,Ac,_,_,_,_;Pp,_,Lc,_,_,_,_;Nn,_,Lc,_,_,_,_;1495
Cj,_,_,_,_,_,_;Pp,_,Lc,_,_,_,_;Nn,_,Lc,_,_,_,_;1491
Nn,_,Nm,_,_,_,_;Nn,_,Gn,_,_,_,_;PM,Nt,Tr;1486
Pp,_,Dt,_,_,_,_;Nn,_,Dt,_,_,_,_;Nn,_,Gn,_,_,_,_;1483
Nn,_,Ab,_,_,_,_;Aj,_,Gn,_,_,_,_;Nn,_,Gn,_,_,_,_;1481
Nn,_,Gn,_,_,_,_;Pp,_,Ac,_,_,_,_;Nn,_,Ac,_,_,_,_;1473
Nn,_,Nm,_,_,_,_;Nn,_,Gn,_,_,_,_;Nn,_,Gn,_,_,_,_;1466
Nn,_,Nm,_,_,_,_;Pp,_,Lc,_,_,_,_;Nn,_,Lc,_,_,_,_;1436
Nn,_,Nm,_,_,_,_;PM,Nt,Tr;Aj,_,Nm,_,_,_,_;1424
Nn,_,Gn,_,_,_,_;Pp,_,Gn,_,_,_,_;Nn,_,Gn,_,_,_,_;1398
Aj,_,Nm,_,_,_,_;Nn,_,Nm,_,_,_,_;PM,Tr,_;1370
Aj,_,Gn,_,_,_,_;Nn,_,Gn,_,_,_,_;Pp,_,Lc,_,_,_,_;1341
Aj,_,Ac,_,_,_,_;Nn,_,Ac,_,_,_,_;PM,Tr,_;1320
PM,Nt,Tr;Nn,_,Nm,_,_,_,_;Nn,_,Gn,_,_,_,_;1312
Aj,_,Gn,_,_,_,_;Nn,_,Gn,_,_,_,_;Vb,_,_,_,_,_,Im;1290
Nn,_,Gn,_,_,_,_;Pp,_,Lc,_,_,_,_;Aj,_,Lc,_,_,_,_;1264
Nn,_,Gn,_,_,_,_;PM,Nt,Tr;Ad,_,_,_,_,_,_;1221
Nn,_,Ac,_,_,_,_;Nn,_,Gn,_,_,_,_;PM,Nt,Tr;1205
Vb,_,_,_,_,_,Pf;Aj,_,Ac,_,_,_,_;Nn,_,Ac,_,_,_,_;1201
Nn,_,Nm,_,_,_,_;Nn,_,Nm,_,_,_,_;PM,Nt,Tr;1188
Vb,_,_,_,_,_,Im;Pp,_,Ac,_,_,_,_;Nn,_,Ac,_,_,_,_;1180
Vb,_,_,_,_,_,Pf;Pp,_,Ac,_,_,_,_;Nn,_,Ac,_,_,_,_;1173
Aj,_,Gn,_,_,_,_;Nn,_,Gn,_,_,_,_;Aj,_,Gn,_,_,_,_;1173
Cj,_,_,_,_,_,_;Nn,_,Nm,_,_,_,_;Nn,_,Gn,_,_,_,_;1154
Pp,_,Ac,_,_,_,_;Nn,_,Ac,_,_,_,_;Aj,_,Gn,_,_,_,_;1140
Cj,_,_,_,_,_,_;Nn,_,Nm,_,_,_,_;PM,Nt,Tr;1123
PM,Nt,Tr;Pn,_,Nm,_,_,_,_;Vb,_,_,_,_,_,Im;1110
Nn,_,Gn,_,_,_,_;PM,Nt,Tr;Vb,_,_,_,_,_,Im;1107
Nn,_,Gn,_,_,_,_;Nn,_,Gn,_,_,_,_;Cj,_,_,_,_,_,_;1081
Pp,_,_,_,_,_,_;Zr,_,_,_,_,_,_;Nn,_,Gn,_,_,_,_;1075
Nn,_,Ac,_,_,_,_;Pp,_,Ac,_,_,_,_;Nn,_,Ac,_,_,_,_;1067
